file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S18_selected_tokens_0101,920.4,1832.3,2766.5,-60.5,186.5,27,-89.5,-13.2,60.1,-8.4,40.4,4,-21.8,-1.5,15.5,5.7,6.6,2.9
S18_selected_tokens_0102,960.7,1645.4,2821.5,-16.5,-4.9,-76.5,-68.1,38.8,31.4,-15.3,9.1,-35.3,-24.4,-0.7,8.2,-6.7,2.7,-13.4
S18_selected_tokens_0103,882.4,2054.8,2966.4,-55.2,172.7,93,-73.8,-40,42.9,34.2,-6.1,-20.1,-27.1,3.7,12.4,3.9,-5.1,-12.6
S18_selected_tokens_0104,999.5,1799.9,2925.9,46.5,-64.7,-40.1,-75.1,76.4,45.4,0.2,-2.7,-28.5,-34.8,7.9,0.8,5.9,-1.3,7.6
S18_selected_tokens_0105,970.8,1997.7,2950.2,26.3,70.6,-36.6,-45.8,39.7,56.6,17.5,-13.7,-8.9,-1.3,1.8,12.5,2.4,3,6.5
S18_selected_tokens_0106,1032.3,1854.9,2887,60.8,-5.6,-73.2,-43.4,27,46.7,27,-12.7,-44.9,-18.8,2.9,20.4,12.2,-3.3,5.7
S18_selected_tokens_0107,852.6,2053.7,2875.9,-105.1,225.8,57.5,-59.2,-43.3,45.7,12,-38.2,-80.3,-33.1,-3.4,-5.8,11.1,-12.5,3.7
S18_selected_tokens_0108,943,1760.7,2690.9,9.3,-24.3,-65.8,-58.5,50.4,206.9,1.4,20.9,9.1,-23.9,12,68.2,8.8,1.2,-0.2
S18_selected_tokens_0109,924.4,1799.6,2773.5,15.6,53.6,-57.7,-95.7,11.9,146.9,5.6,32,92.7,-42.7,-1.4,-23.1,1.3,-4,-48.6
S18_selected_tokens_0110,959.8,1614.3,2717.8,18.7,-68.2,-6.8,-70.7,90.6,204.4,-5.6,33.7,88.6,-40.2,22.1,104.8,-5.2,1.6,26.6
S18_selected_tokens_0111,996.2,1904.3,2859.9,42.3,117.2,-17.9,-62.8,29.7,89.7,4.8,9.6,15.6,-12.9,2.3,20.9,-2.7,1.8,21.8
S18_selected_tokens_0112,992.6,1673.3,2655.7,62.2,5.5,-155.5,-51.9,29.6,78.9,22.4,12.2,-47.1,-21.3,12.5,14.3,13.1,8.9,-6.8
S18_selected_tokens_0113,865,2001.6,2871.8,-106.6,217.4,72.6,-81.6,16.7,60.7,13.5,-11.6,-19.5,-23.2,-4.5,2.2,2.9,-4.9,-5.2
S18_selected_tokens_0114,960.3,1744.4,2698.3,6.2,-28.7,-86.8,-58.4,37.3,36.2,0.8,19.9,-15.8,-27.4,4.9,-0.8,4,-5.6,-10.5
S18_selected_tokens_0115,795.4,2022.7,2905,-72,324.4,166.4,-101.7,-0.7,73.6,-1.4,21.9,4.9,-33.9,9.7,1.6,7.6,0.6,8.5
S18_selected_tokens_0116,895.8,1572.9,2545.2,18.8,175.8,-221.7,-151.6,187,175.1,-12,92.6,29.4,-62.8,42.3,22.6,-2.5,47.1,18.6
S18_selected_tokens_0117,1035.5,2006.6,2953.4,-0.6,112.3,-33.5,-45.3,4.3,99.6,8.5,16,23.1,1.9,-3.5,32,-5.2,4.4,24
S18_selected_tokens_0118,1031.1,1598.8,2680,26.6,-6.9,-244.2,-59.5,-15.5,36.9,17.2,14.8,-40.6,-10.2,11.1,-41.2,8.9,25.1,-1.3
S18_selected_tokens_0119,895.4,1934.2,2835.4,-15.2,198,80.1,-63.2,54.3,81.7,-14.4,10.7,0.6,-30.4,13.7,4.2,-4.3,3.8,-6.3
S18_selected_tokens_0120,957.2,1484.2,2570.3,49.3,-6.4,-184.2,-46.3,72.2,64.1,36,36.2,-5,-9.5,22.8,-11.5,11.3,20.4,27.6
